,,,,,,Daily Price Report-01-01-2022 to 31-12-2022 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,700.00","5,313.00","5,007.00",Rs./Quintal,31-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,800.00","5,313.00","4,557.00",Rs./Quintal,30-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,100.00","5,313.00","4,707.00",Rs./Quintal,29-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,500.00","5,350.00","4,925.00",Rs./Quintal,28-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,980.00","5,300.00","5,140.00",Rs./Quintal,26-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,600.00","5,262.00","4,431.00",Rs./Quintal,24-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,175.00","5,355.00","5,265.00",Rs./Quintal,23-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,800.00","5,363.00","5,082.00",Rs./Quintal,21-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,349.00","5,521.00","4,935.00",Rs./Quintal,20-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,850.00","5,353.00","5,100.00",Rs./Quintal,19-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"2,725.00","5,350.00","4,037.00",Rs./Quintal,17-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,159.00","5,379.00","4,770.00",Rs./Quintal,16-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,545.00","5,289.00","4,917.00",Rs./Quintal,15-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,502.00","5,350.00","4,926.00",Rs./Quintal,14-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,800.00","5,359.00","5,080.00",Rs./Quintal,13-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,251.00","5,389.00","4,820.00",Rs./Quintal,12-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,700.00","5,413.00","4,556.00",Rs./Quintal,10-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,200.00","5,409.00","4,805.00",Rs./Quintal,09-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,000.00","5,378.00","4,689.00",Rs./Quintal,06-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,400.00","5,409.00","4,905.00",Rs./Quintal,03-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,200.00","5,409.00","4,805.00",Rs./Quintal,02-12-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,600.00","5,504.00","5,052.00",Rs./Quintal,30-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,750.00","5,425.00","4,588.00",Rs./Quintal,28-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,049.00","5,459.00","4,759.00",Rs./Quintal,26-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,800.00","5,513.00","4,657.00",Rs./Quintal,24-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,061.00","5,721.00","4,891.00",Rs./Quintal,23-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,800.00","5,671.00","4,735.00",Rs./Quintal,22-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,658.00","5,751.00","4,704.00",Rs./Quintal,21-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,747.00","5,671.00","5,209.00",Rs./Quintal,19-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,104.00","5,602.00","4,853.00",Rs./Quintal,18-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,500.00","5,500.00","4,500.00",Rs./Quintal,17-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,444.00","5,650.00","5,047.00",Rs./Quintal,16-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,500.00","5,711.00","4,605.00",Rs./Quintal,15-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,500.00","5,790.00","4,645.00",Rs./Quintal,12-11-2022
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,900.00","5,725.00","4,812.00",Rs./Quintal,11-11-2022
