date,market,district,variety,grade,arrival_qty,min_price,max_price,modal_price,commodity
2021-01-13,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5615.0,5500.0,Cotton
2021-01-16,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5650.0,5555.0,Cotton
2021-01-18,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5615.0,5510.0,Cotton
2021-01-19,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5615.0,5500.0,Cotton
2021-01-20,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5650.0,5555.0,Cotton
2021-01-21,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5615.0,5585.0,Cotton
2021-01-22,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5615.0,5592.0,Cotton
2021-01-25,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5615.0,5500.0,Cotton
2021-01-27,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5615.0,5558.0,Cotton
2021-01-28,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5615.0,5510.0,Cotton
2021-01-29,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5615.0,5510.0,Cotton
2021-02-01,Basmat APMC,Hingoli,Desi,FAQ,0.0,5400.0,5615.0,5500.0,Cotton
2021-12-02,Hingoli APMC,Hingoli,Other,FAQ,0.0,8000.0,8150.0,8075.0,Cotton
2021-12-03,Hingoli APMC,Hingoli,Other,FAQ,0.0,8000.0,8150.0,8075.0,Cotton
2021-12-07,Hingoli APMC,Hingoli,Other,FAQ,0.0,8000.0,8150.0,8075.0,Cotton
2021-12-08,Hingoli APMC,Hingoli,Other,FAQ,0.0,8000.0,8300.0,8150.0,Cotton
2021-12-09,Hingoli APMC,Hingoli,Other,FAQ,0.0,8005.0,8205.0,8105.0,Cotton
2021-12-10,Hingoli APMC,Hingoli,Other,FAQ,0.0,8000.0,8200.0,8100.0,Cotton
2021-12-11,Hingoli APMC,Hingoli,Other,FAQ,0.0,8050.0,8150.0,8100.0,Cotton
2021-12-13,Hingoli APMC,Hingoli,Other,FAQ,0.0,8000.0,8250.0,8125.0,Cotton
2021-12-14,Hingoli APMC,Hingoli,Other,FAQ,0.0,8005.0,8255.0,8130.0,Cotton
2021-12-15,Hingoli APMC,Hingoli,Other,FAQ,0.0,8000.0,8253.0,8126.0,Cotton
2021-12-16,Hingoli APMC,Hingoli,Other,FAQ,0.0,8025.0,8255.0,8140.0,Cotton
2021-12-17,Hingoli APMC,Hingoli,Other,FAQ,0.0,8080.0,8235.0,8157.0,Cotton
2021-12-18,Hingoli APMC,Hingoli,Other,FAQ,0.0,8055.0,8250.0,8152.0,Cotton
2021-12-20,Hingoli APMC,Hingoli,Other,FAQ,0.0,8055.0,8255.0,8155.0,Cotton
2021-12-21,Hingoli APMC,Hingoli,Other,FAQ,0.0,8005.0,8205.0,8105.0,Cotton
2021-12-22,Hingoli APMC,Hingoli,Other,FAQ,0.0,8025.0,8205.0,8115.0,Cotton
2021-12-23,Hingoli APMC,Hingoli,Other,FAQ,0.0,8050.0,8200.0,8125.0,Cotton
2021-12-24,Hingoli APMC,Hingoli,Other,FAQ,0.0,8005.0,8220.0,8112.0,Cotton
2021-12-25,Hingoli APMC,Hingoli,Other,FAQ,0.0,8000.0,8200.0,8100.0,Cotton
2021-12-27,Hingoli APMC,Hingoli,Other,FAQ,0.0,8000.0,8200.0,8100.0,Cotton
2021-12-28,Hingoli APMC,Hingoli,Other,FAQ,0.0,8010.0,8220.0,8115.0,Cotton
2021-12-29,Hingoli APMC,Hingoli,Other,FAQ,0.0,8005.0,8235.0,8120.0,Cotton
