date,market,district,variety,grade,arrival_qty,min_price,max_price,modal_price,commodity
2021-01-04,Kinwat APMC,Nanded,Other,FAQ,0.0,5603.0,5615.0,5609.0,Cotton
2021-01-05,Kinwat APMC,Nanded,Other,FAQ,0.0,5558.0,5615.0,5603.0,Cotton
2021-01-13,Kinwat APMC,Nanded,Other,FAQ,0.0,5586.0,5615.0,5603.0,Cotton
2021-01-18,Kinwat APMC,Nanded,Other,FAQ,0.0,5598.0,5616.0,5609.0,Cotton
2021-01-19,Kinwat APMC,Nanded,Other,FAQ,0.0,5558.0,5615.0,5609.0,Cotton
2021-01-20,Kinwat APMC,Nanded,Other,FAQ,0.0,5558.0,5615.0,5609.0,Cotton
2021-01-21,Kinwat APMC,Nanded,Other,FAQ,0.0,5558.0,5615.0,5609.0,Cotton
2021-01-22,Kinwat APMC,Nanded,Other,FAQ,0.0,5558.0,5615.0,5609.0,Cotton
2021-01-25,Kinwat APMC,Nanded,Other,FAQ,0.0,5450.0,5615.0,5500.0,Cotton
2021-01-27,Kinwat APMC,Nanded,Other,FAQ,0.0,5200.0,5650.0,5500.0,Cotton
2021-01-28,Kinwat APMC,Nanded,Other,FAQ,0.0,5420.0,5620.0,5500.0,Cotton
2021-01-29,Kinwat APMC,Nanded,Other,FAQ,0.0,5000.0,5650.0,5420.0,Cotton
2021-01-30,Kinwat APMC,Nanded,Other,FAQ,0.0,5520.0,5520.0,5520.0,Cotton
2021-02-01,Kinwat APMC,Nanded,Other,FAQ,0.0,5250.0,5400.0,5375.0,Cotton
2021-02-05,Kinwat APMC,Nanded,Other,FAQ,0.0,5000.0,5600.0,5400.0,Cotton
2021-02-10,Kinwat APMC,Nanded,Other,FAQ,0.0,4500.0,5600.0,5300.0,Cotton
2021-02-11,Kinwat APMC,Nanded,Other,FAQ,0.0,4900.0,5600.0,5400.0,Cotton
2021-10-11,Kinwat APMC,Nanded,Other,FAQ,0.0,5000.0,5100.0,5050.0,Cotton
2021-10-14,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,6000.0,6200.0,6100.0,Cotton
2021-10-16,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,6000.0,6200.0,6100.0,Cotton
2021-10-19,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,6600.0,6800.0,6700.0,Cotton
2021-10-20,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,6600.0,6800.0,6700.0,Cotton
2021-10-21,Kinwat APMC,Nanded,Other,FAQ,0.0,6900.0,7100.0,7000.0,Cotton
2021-10-21,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,6800.0,7000.0,6900.0,Cotton
2021-10-22,Kinwat APMC,Nanded,Other,FAQ,0.0,6900.0,7100.0,7000.0,Cotton
2021-10-22,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,6800.0,7000.0,6900.0,Cotton
2021-10-23,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,6800.0,7000.0,6900.0,Cotton
2021-10-25,Kinwat APMC,Nanded,Other,FAQ,0.0,6500.0,7200.0,7000.0,Cotton
2021-10-25,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,6800.0,7000.0,6900.0,Cotton
2021-10-26,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,6800.0,7000.0,6900.0,Cotton
2021-10-26,Kinwat APMC,Nanded,Other,FAQ,0.0,6800.0,7500.0,7100.0,Cotton
2021-10-27,Kinwat APMC,Nanded,Other,FAQ,0.0,7000.0,7600.0,7200.0,Cotton
2021-10-27,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,6800.0,7000.0,6900.0,Cotton
2021-10-28,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,7550.0,7750.0,7650.0,Cotton
2021-10-28,Kinwat APMC,Nanded,Other,FAQ,0.0,7500.0,7900.0,7650.0,Cotton
2021-10-29,Kinwat APMC,Nanded,Other,FAQ,0.0,7900.0,8001.0,8000.0,Cotton
2021-10-29,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,7600.0,7800.0,7700.0,Cotton
2021-10-30,Kinwat APMC,Nanded,Other,FAQ,0.0,7800.0,8100.0,8050.0,Cotton
2021-10-30,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,7800.0,8000.0,7900.0,Cotton
2021-11-01,Kinwat APMC,Nanded,Other,FAQ,0.0,8000.0,8340.0,8200.0,Cotton
2021-11-01,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,8000.0,8200.0,8100.0,Cotton
2021-11-02,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,8000.0,8200.0,8100.0,Cotton
2021-11-02,Kinwat APMC,Nanded,Other,FAQ,0.0,8310.0,8450.0,8400.0,Cotton
2021-11-03,Kinwat APMC,Nanded,Other,FAQ,0.0,8500.0,8550.0,8520.0,Cotton
2021-11-03,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,8200.0,8500.0,8400.0,Cotton
2021-11-06,Kinwat APMC,Nanded,Other,FAQ,0.0,8000.0,8500.0,8300.0,Cotton
2021-11-08,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,8300.0,8500.0,8400.0,Cotton
2021-11-08,Kinwat APMC,Nanded,Other,FAQ,0.0,8260.0,8440.0,8350.0,Cotton
2021-11-09,Kinwat APMC,Nanded,Other,FAQ,0.0,8200.0,8250.0,8230.0,Cotton
2021-11-10,Kinwat APMC,Nanded,Other,FAQ,0.0,8000.0,8200.0,8150.0,Cotton
2021-11-10,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,7900.0,8000.0,7950.0,Cotton
2021-11-11,Kinwat APMC,Nanded,Other,FAQ,0.0,7900.0,8000.0,7950.0,Cotton
2021-11-11,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,7900.0,8000.0,7950.0,Cotton
2021-11-12,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,7800.0,7900.0,7850.0,Cotton
2021-11-13,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,8000.0,8100.0,8050.0,Cotton
2021-11-15,Kinwat APMC,Nanded,Other,FAQ,0.0,8000.0,8150.0,8075.0,Cotton
2021-11-15,Himalyatnagar APMC,Nanded,Other,FAQ,0.0,8000.0,8100.0,8050.0,Cotton
