date,market,district,variety,grade,arrival_qty,min_price,max_price,modal_price,commodity
2021-11-25,Parbhani APMC,Parbhani,Other,FAQ,0.0,8100.0,8300.0,8240.0,Cotton
2021-11-26,Parbhani APMC,Parbhani,Other,FAQ,0.0,8200.0,8350.0,8280.0,Cotton
2021-11-27,Parbhani APMC,Parbhani,Other,FAQ,0.0,8200.0,8500.0,8350.0,Cotton
2021-12-01,Parbhani APMC,Parbhani,Other,FAQ,0.0,8200.0,8440.0,8250.0,Cotton
2021-12-15,Parbhani APMC,Parbhani,Other,FAQ,0.0,8000.0,8355.0,8150.0,Cotton
2021-12-17,Parbhani APMC,Parbhani,Other,FAQ,0.0,8370.0,8570.0,8420.0,Cotton
2021-12-18,Parbhani APMC,Parbhani,Other,FAQ,0.0,8250.0,8500.0,8320.0,Cotton
2021-12-20,Parbhani APMC,Parbhani,Other,FAQ,0.0,8100.0,8350.0,8230.0,Cotton
2021-12-21,Parbhani APMC,Parbhani,Other,FAQ,0.0,8000.0,8300.0,8200.0,Cotton
2021-12-23,Parbhani APMC,Parbhani,Other,FAQ,0.0,8200.0,8525.0,8300.0,Cotton
2021-12-24,Parbhani APMC,Parbhani,Other,FAQ,0.0,8200.0,8510.0,8250.0,Cotton
2021-12-27,Parbhani APMC,Parbhani,Other,FAQ,0.0,8100.0,8880.0,8500.0,Cotton
2021-12-28,Parbhani APMC,Parbhani,Other,FAQ,0.0,8600.0,8800.0,8780.0,Cotton
2021-12-29,Parbhani APMC,Parbhani,Other,FAQ,0.0,8000.0,8880.0,8750.0,Cotton
2021-12-30,Parbhani APMC,Parbhani,Other,FAQ,0.0,8200.0,9080.0,8900.0,Cotton
2021-12-31,Parbhani APMC,Parbhani,Other,FAQ,0.0,8700.0,9100.0,8800.0,Cotton
2022-01-01,Parbhani APMC,Parbhani,Other,FAQ,0.0,8900.0,9250.0,9150.0,Cotton
2022-01-03,Parbhani APMC,Parbhani,Other,FAQ,0.0,9450.0,9550.0,9500.0,Cotton
