date,market,district,variety,grade,arrival_qty,min_price,max_price,modal_price,commodity
2021-01-01,Hingoli APMC,Hingoli,Other,FAQ,573.0,3800.0,4400.0,4100.0,Soybean
2021-01-01,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,573.0,3800.0,4300.0,4050.0,Soybean
2021-01-01,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,573.0,3800.0,4300.0,4050.0,Soybean
2021-01-01,Hingoli APMC,Hingoli,Other,FAQ,573.0,3800.0,4400.0,4100.0,Soybean
2021-01-02,Hingoli APMC,Hingoli,Other,FAQ,3090.0,3920.0,4380.0,4150.0,Soybean
2021-01-02,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3090.0,3750.0,4250.0,4000.0,Soybean
2021-01-02,Basmat APMC,Hingoli,Yellow,FAQ,3090.0,3680.0,4410.0,4010.0,Soybean
2021-01-02,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3090.0,3750.0,4250.0,4000.0,Soybean
2021-01-02,Basmat APMC,Hingoli,Yellow,FAQ,3090.0,3680.0,4410.0,4010.0,Soybean
2021-01-02,Hingoli APMC,Hingoli,Other,FAQ,3090.0,3920.0,4380.0,4150.0,Soybean
2021-01-04,Hingoli APMC,Hingoli,Other,FAQ,3298.0,3900.0,4500.0,4200.0,Soybean
2021-01-04,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3298.0,3750.0,4400.0,4075.0,Soybean
2021-01-04,Hingoli APMC,Hingoli,Other,FAQ,3298.0,3900.0,4500.0,4200.0,Soybean
2021-01-04,Basmat APMC,Hingoli,Yellow,FAQ,3298.0,3610.0,4405.0,4095.0,Soybean
2021-01-04,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3298.0,3550.0,4305.0,4055.0,Soybean
2021-01-04,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3298.0,3750.0,4400.0,4075.0,Soybean
2021-01-04,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3298.0,3550.0,4305.0,4055.0,Soybean
2021-01-04,Basmat APMC,Hingoli,Yellow,FAQ,3298.0,3610.0,4405.0,4095.0,Soybean
2021-01-05,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,4754.0,3525.0,4265.0,3925.0,Soybean
2021-01-05,Hingoli APMC,Hingoli,Other,FAQ,4754.0,3800.0,4400.0,4100.0,Soybean
2021-01-05,Basmat APMC,Hingoli,Yellow,FAQ,4754.0,3615.0,4310.0,4055.0,Soybean
2021-01-05,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,4754.0,3700.0,4350.0,4025.0,Soybean
2021-01-05,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,4754.0,3525.0,4265.0,3925.0,Soybean
2021-01-05,Basmat APMC,Hingoli,Yellow,FAQ,4754.0,3615.0,4310.0,4055.0,Soybean
2021-01-05,Hingoli APMC,Hingoli,Other,FAQ,4754.0,3800.0,4400.0,4100.0,Soybean
2021-01-05,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,4754.0,3700.0,4350.0,4025.0,Soybean
2021-01-06,Hingoli APMC,Hingoli,Other,FAQ,681.0,4050.0,4500.0,4275.0,Soybean
2021-01-06,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,681.0,3800.0,4350.0,4075.0,Soybean
2021-01-06,Hingoli APMC,Hingoli,Other,FAQ,681.0,4050.0,4500.0,4275.0,Soybean
2021-01-06,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,681.0,3800.0,4350.0,4075.0,Soybean
2021-01-06,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,681.0,3510.0,4325.0,4045.0,Soybean
2021-01-06,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,681.0,3510.0,4325.0,4045.0,Soybean
2021-01-06,Basmat APMC,Hingoli,Yellow,FAQ,681.0,3575.0,4455.0,4085.0,Soybean
2021-01-06,Basmat APMC,Hingoli,Yellow,FAQ,681.0,3575.0,4455.0,4085.0,Soybean
2021-01-09,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,180.0,3615.0,4405.0,4000.0,Soybean
2021-01-09,Basmat APMC,Hingoli,Yellow,FAQ,180.0,3570.0,4405.0,4010.0,Soybean
2021-01-09,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,180.0,3615.0,4405.0,4000.0,Soybean
2021-01-09,Basmat APMC,Hingoli,Yellow,FAQ,180.0,3570.0,4405.0,4010.0,Soybean
2021-01-12,Hingoli APMC,Hingoli,Other,FAQ,298.0,3900.0,4510.0,4205.0,Soybean
2021-01-12,Hingoli APMC,Hingoli,Other,FAQ,298.0,3900.0,4510.0,4205.0,Soybean
2021-01-13,Basmat(Kurunda) APMC,Hingoli,Yellow,FAQ,329.0,3605.0,4365.0,4055.0,Soybean
2021-01-13,Basmat(Kurunda) APMC,Hingoli,Yellow,FAQ,329.0,3605.0,4365.0,4055.0,Soybean
2021-01-14,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,277.0,3495.0,4390.0,4010.0,Soybean
2021-01-14,Hingoli APMC,Hingoli,Other,FAQ,277.0,4050.0,4300.0,4175.0,Soybean
2021-01-14,Basmat APMC,Hingoli,Yellow,FAQ,277.0,3595.0,4425.0,4035.0,Soybean
2021-01-14,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,277.0,3800.0,4350.0,4075.0,Soybean
2021-01-14,Hingoli APMC,Hingoli,Other,FAQ,277.0,4050.0,4300.0,4175.0,Soybean
2021-01-14,Basmat APMC,Hingoli,Yellow,FAQ,277.0,3595.0,4425.0,4035.0,Soybean
2021-01-14,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,277.0,3800.0,4350.0,4075.0,Soybean
2021-01-14,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,277.0,3495.0,4390.0,4010.0,Soybean
2021-01-16,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3177.0,3850.0,4350.0,4100.0,Soybean
2021-01-16,Hingoli APMC,Hingoli,Other,FAQ,3177.0,3950.0,4450.0,4200.0,Soybean
2021-01-16,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3177.0,3850.0,4350.0,4100.0,Soybean
2021-01-16,Basmat APMC,Hingoli,Yellow,FAQ,3177.0,3490.0,4545.0,4050.0,Soybean
2021-01-16,Hingoli APMC,Hingoli,Other,FAQ,3177.0,3950.0,4450.0,4200.0,Soybean
2021-01-16,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3177.0,3490.0,4405.0,4050.0,Soybean
2021-01-16,Basmat APMC,Hingoli,Yellow,FAQ,3177.0,3490.0,4545.0,4050.0,Soybean
2021-01-16,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3177.0,3490.0,4405.0,4050.0,Soybean
2021-01-18,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3446.0,3550.0,4410.0,4000.0,Soybean
2021-01-18,Basmat APMC,Hingoli,Yellow,FAQ,3446.0,3910.0,4400.0,4055.0,Soybean
2021-01-18,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3446.0,3850.0,4350.0,4100.0,Soybean
2021-01-18,Basmat APMC,Hingoli,Yellow,FAQ,3446.0,3910.0,4400.0,4055.0,Soybean
2021-01-18,Hingoli APMC,Hingoli,Other,FAQ,3446.0,4250.0,4501.0,4375.0,Soybean
2021-01-18,Hingoli APMC,Hingoli,Other,FAQ,3446.0,4250.0,4501.0,4375.0,Soybean
2021-01-18,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3446.0,3850.0,4350.0,4100.0,Soybean
2021-01-18,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3446.0,3550.0,4410.0,4000.0,Soybean
2021-01-19,Basmat(Kurunda) APMC,Hingoli,Yellow,FAQ,3354.0,3600.0,4355.0,3960.0,Soybean
2021-01-19,Hingoli APMC,Hingoli,Other,FAQ,3354.0,3850.0,4425.0,4137.0,Soybean
2021-01-19,Basmat APMC,Hingoli,Yellow,FAQ,3354.0,3900.0,4490.0,4050.0,Soybean
2021-01-19,Hingoli APMC,Hingoli,Other,FAQ,3354.0,3850.0,4425.0,4137.0,Soybean
2021-01-19,Basmat(Kurunda) APMC,Hingoli,Yellow,FAQ,3354.0,3600.0,4355.0,3960.0,Soybean
2021-01-19,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3354.0,3850.0,4400.0,4125.0,Soybean
2021-01-19,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3354.0,3850.0,4400.0,4125.0,Soybean
2021-01-19,Basmat APMC,Hingoli,Yellow,FAQ,3354.0,3900.0,4490.0,4050.0,Soybean
2021-01-20,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,2930.0,3900.0,4250.0,4075.0,Soybean
2021-01-20,Basmat(Kurunda) APMC,Hingoli,Yellow,FAQ,2930.0,3440.0,4390.0,4010.0,Soybean
2021-01-20,Basmat(Kurunda) APMC,Hingoli,Yellow,FAQ,2930.0,3440.0,4390.0,4010.0,Soybean
2021-01-20,Hingoli APMC,Hingoli,Other,FAQ,2930.0,4100.0,4400.0,4250.0,Soybean
2021-01-20,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,2930.0,3900.0,4250.0,4075.0,Soybean
2021-01-20,Hingoli APMC,Hingoli,Other,FAQ,2930.0,4100.0,4400.0,4250.0,Soybean
2021-01-21,Hingoli APMC,Hingoli,Other,FAQ,3589.0,3805.0,4475.0,4140.0,Soybean
2021-01-21,Basmat APMC,Hingoli,Yellow,FAQ,3589.0,4000.0,4400.0,4200.0,Soybean
2021-01-21,Basmat APMC,Hingoli,Yellow,FAQ,3589.0,4000.0,4400.0,4200.0,Soybean
2021-01-21,Hingoli APMC,Hingoli,Other,FAQ,3589.0,3805.0,4475.0,4140.0,Soybean
2021-01-21,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3589.0,3800.0,4250.0,4025.0,Soybean
2021-01-21,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3589.0,3800.0,4250.0,4025.0,Soybean
2021-01-22,Hingoli APMC,Hingoli,Other,FAQ,4082.0,3850.0,4505.0,4162.0,Soybean
2021-01-22,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,4082.0,3750.0,4250.0,4000.0,Soybean
2021-01-22,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,4082.0,3750.0,4250.0,4000.0,Soybean
2021-01-22,Hingoli APMC,Hingoli,Other,FAQ,4082.0,3850.0,4505.0,4162.0,Soybean
2021-01-23,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3035.0,3850.0,4350.0,4100.0,Soybean
2021-01-23,Basmat APMC,Hingoli,Yellow,FAQ,3035.0,3890.0,4480.0,4030.0,Soybean
2021-01-23,Basmat APMC,Hingoli,Yellow,FAQ,3035.0,3890.0,4480.0,4030.0,Soybean
2021-01-23,Hingoli APMC,Hingoli,Other,FAQ,3035.0,3950.0,4505.0,4227.0,Soybean
2021-01-23,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3035.0,3850.0,4350.0,4100.0,Soybean
2021-01-23,Hingoli APMC,Hingoli,Other,FAQ,3035.0,3950.0,4505.0,4227.0,Soybean
2021-01-25,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3021.0,3850.0,4150.0,4000.0,Soybean
2021-01-25,Hingoli APMC,Hingoli,Other,FAQ,3021.0,3850.0,4450.0,4150.0,Soybean
2021-01-25,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3021.0,3610.0,4400.0,4000.0,Soybean
2021-01-25,Hingoli APMC,Hingoli,Other,FAQ,3021.0,3850.0,4450.0,4150.0,Soybean
2021-01-25,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3021.0,3850.0,4150.0,4000.0,Soybean
2021-01-25,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3021.0,3610.0,4400.0,4000.0,Soybean
2021-01-27,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3374.0,3850.0,4250.0,4050.0,Soybean
2021-01-27,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3374.0,3850.0,4250.0,4050.0,Soybean
2021-01-27,Hingoli APMC,Hingoli,Other,FAQ,3374.0,3900.0,4400.0,4150.0,Soybean
2021-01-27,Hingoli APMC,Hingoli,Other,FAQ,3374.0,3900.0,4400.0,4150.0,Soybean
2021-01-28,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3245.0,3850.0,4200.0,4025.0,Soybean
2021-01-28,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3245.0,3850.0,4200.0,4025.0,Soybean
2021-01-28,Basmat APMC,Hingoli,Yellow,FAQ,3245.0,3700.0,4490.0,4010.0,Soybean
2021-01-28,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3245.0,3575.0,4410.0,4005.0,Soybean
2021-01-28,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3245.0,3575.0,4410.0,4005.0,Soybean
2021-01-28,Hingoli APMC,Hingoli,Other,FAQ,3245.0,3925.0,4415.0,4170.0,Soybean
2021-01-28,Basmat APMC,Hingoli,Yellow,FAQ,3245.0,3700.0,4490.0,4010.0,Soybean
2021-01-28,Hingoli APMC,Hingoli,Other,FAQ,3245.0,3925.0,4415.0,4170.0,Soybean
2021-01-29,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,1931.0,3900.0,4350.0,4125.0,Soybean
2021-01-29,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,1931.0,3900.0,4350.0,4125.0,Soybean
2021-01-30,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,2854.0,3900.0,4350.0,4125.0,Soybean
2021-01-30,Basmat APMC,Hingoli,Yellow,FAQ,2854.0,3600.0,4450.0,4100.0,Soybean
2021-01-30,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,2854.0,3900.0,4350.0,4125.0,Soybean
2021-01-30,Basmat APMC,Hingoli,Yellow,FAQ,2854.0,3600.0,4450.0,4100.0,Soybean
2021-02-01,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3881.0,3900.0,4300.0,4100.0,Soybean
2021-02-01,Hingoli APMC,Hingoli,Other,FAQ,3881.0,3900.0,4450.0,4175.0,Soybean
2021-02-01,Hingoli APMC,Hingoli,Other,FAQ,3881.0,3900.0,4450.0,4175.0,Soybean
2021-02-01,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3881.0,3540.0,4410.0,3990.0,Soybean
2021-02-01,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3881.0,3900.0,4300.0,4100.0,Soybean
2021-02-01,Basmat(Kurunda) APMC,Hingoli,Other,FAQ,3881.0,3540.0,4410.0,3990.0,Soybean
2021-02-02,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3652.0,4000.0,4350.0,4175.0,Soybean
2021-02-02,Hingoli APMC,Hingoli,Other,FAQ,3652.0,3950.0,4475.0,4212.0,Soybean
2021-02-02,Hingoli APMC,Hingoli,Other,FAQ,3652.0,3950.0,4475.0,4212.0,Soybean
2021-02-02,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3652.0,4000.0,4350.0,4175.0,Soybean
2021-02-02,Basmat APMC,Hingoli,Yellow,FAQ,3652.0,3750.0,4480.0,4050.0,Soybean
2021-02-02,Basmat APMC,Hingoli,Yellow,FAQ,3652.0,3750.0,4480.0,4050.0,Soybean
2021-02-03,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,4358.0,4000.0,4350.0,4175.0,Soybean
2021-02-03,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,4358.0,4000.0,4350.0,4175.0,Soybean
2021-02-03,Hingoli APMC,Hingoli,Other,FAQ,4358.0,4050.0,4501.0,4275.0,Soybean
2021-02-03,Hingoli APMC,Hingoli,Other,FAQ,4358.0,4050.0,4501.0,4275.0,Soybean
2021-02-04,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,4179.0,4000.0,4400.0,4200.0,Soybean
2021-02-04,Basmat APMC,Hingoli,Yellow,FAQ,4179.0,3790.0,4475.0,4005.0,Soybean
2021-02-04,Basmat APMC,Hingoli,Yellow,FAQ,4179.0,3790.0,4475.0,4005.0,Soybean
2021-02-04,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,4179.0,4000.0,4400.0,4200.0,Soybean
2021-02-04,Hingoli APMC,Hingoli,Other,FAQ,4179.0,4050.0,4550.0,4300.0,Soybean
2021-02-04,Hingoli APMC,Hingoli,Other,FAQ,4179.0,4050.0,4550.0,4300.0,Soybean
2021-02-05,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3759.0,4000.0,4450.0,4225.0,Soybean
2021-02-05,Hingoli APMC,Hingoli,Other,FAQ,3759.0,3950.0,4550.0,4250.0,Soybean
2021-02-05,Hingoli APMC,Hingoli,Other,FAQ,3759.0,3950.0,4550.0,4250.0,Soybean
2021-02-05,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3759.0,4000.0,4450.0,4225.0,Soybean
2021-02-06,Basmat APMC,Hingoli,Yellow,FAQ,200.0,3890.0,4500.0,4100.0,Soybean
2021-02-06,Hingoli APMC,Hingoli,Other,FAQ,200.0,4050.0,4750.0,4400.0,Soybean
2021-02-06,Hingoli APMC,Hingoli,Other,FAQ,200.0,4050.0,4750.0,4400.0,Soybean
2021-02-06,Basmat APMC,Hingoli,Yellow,FAQ,200.0,3890.0,4500.0,4100.0,Soybean
2021-02-08,Basmat APMC,Hingoli,Yellow,FAQ,287.0,3905.0,4615.0,4155.0,Soybean
2021-02-08,Basmat APMC,Hingoli,Yellow,FAQ,287.0,3905.0,4615.0,4155.0,Soybean
2021-02-09,Hingoli APMC,Hingoli,Other,FAQ,3519.0,4400.0,4700.0,4550.0,Soybean
2021-02-09,Basmat APMC,Hingoli,Yellow,FAQ,3519.0,3890.0,4660.0,4160.0,Soybean
2021-02-09,Hingoli APMC,Hingoli,Other,FAQ,3519.0,4400.0,4700.0,4550.0,Soybean
2021-02-09,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3519.0,4200.0,4500.0,4350.0,Soybean
2021-02-09,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3519.0,4200.0,4500.0,4350.0,Soybean
2021-02-09,Basmat APMC,Hingoli,Yellow,FAQ,3519.0,3890.0,4660.0,4160.0,Soybean
2021-02-10,Basmat APMC,Hingoli,Yellow,FAQ,3140.0,3885.0,4605.0,4360.0,Soybean
2021-02-10,Hingoli APMC,Hingoli,Other,FAQ,3140.0,4050.0,4721.0,4385.0,Soybean
2021-02-10,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3140.0,4400.0,4600.0,4500.0,Soybean
2021-02-10,Basmat APMC,Hingoli,Yellow,FAQ,3140.0,3885.0,4605.0,4360.0,Soybean
2021-02-10,Hingoli APMC,Hingoli,Other,FAQ,3140.0,4050.0,4721.0,4385.0,Soybean
2021-02-10,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3140.0,4400.0,4600.0,4500.0,Soybean
2021-02-11,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,154.0,4200.0,4600.0,4400.0,Soybean
2021-02-11,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,154.0,4200.0,4600.0,4400.0,Soybean
2021-02-12,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3785.0,4400.0,4650.0,4525.0,Soybean
2021-02-12,Hingoli APMC,Hingoli,Other,FAQ,3785.0,4305.0,4800.0,4555.0,Soybean
2021-02-12,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3785.0,4400.0,4650.0,4525.0,Soybean
2021-02-12,Hingoli APMC,Hingoli,Other,FAQ,3785.0,4305.0,4800.0,4555.0,Soybean
2021-02-13,Hingoli APMC,Hingoli,Other,FAQ,3208.0,4350.0,4815.0,4582.0,Soybean
2021-02-13,Basmat APMC,Hingoli,Yellow,FAQ,3208.0,3900.0,4685.0,4200.0,Soybean
2021-02-13,Hingoli APMC,Hingoli,Other,FAQ,3208.0,4350.0,4815.0,4582.0,Soybean
2021-02-13,Basmat APMC,Hingoli,Yellow,FAQ,3208.0,3900.0,4685.0,4200.0,Soybean
2021-02-15,Hingoli APMC,Hingoli,Other,FAQ,3272.0,4500.0,4880.0,4690.0,Soybean
2021-02-15,Hingoli(Kanegoan Naka) APMC,Hingoli,Yellow,FAQ,3272.0,4400.0,4650.0,4525.0,Soybean
