date,market,district,variety,grade,arrival_qty,min_price,max_price,modal_price,commodity
2021-01-01,Latur(Murud) APMC,Latur,Yellow,FAQ,573.0,4100.0,4311.0,4250.0,Soybean
2021-01-01,Latur(Murud) APMC,Latur,Yellow,FAQ,573.0,4100.0,4311.0,4250.0,Soybean
2021-01-02,Latur APMC,Latur,Yellow,FAQ,3090.0,3842.0,4391.0,4280.0,Soybean
2021-01-02,Latur(Murud) APMC,Latur,Yellow,FAQ,3090.0,4200.0,4331.0,4280.0,Soybean
2021-01-02,Latur(Murud) APMC,Latur,Yellow,FAQ,3090.0,4200.0,4331.0,4280.0,Soybean
2021-01-02,Latur APMC,Latur,Yellow,FAQ,3090.0,3842.0,4391.0,4280.0,Soybean
2021-01-04,Latur APMC,Latur,Yellow,FAQ,3298.0,4077.0,4552.0,4370.0,Soybean
2021-01-04,Latur(Murud) APMC,Latur,Yellow,FAQ,3298.0,4200.0,4451.0,4300.0,Soybean
2021-01-04,Latur APMC,Latur,Yellow,FAQ,3298.0,4077.0,4552.0,4370.0,Soybean
2021-01-04,Latur(Murud) APMC,Latur,Yellow,FAQ,3298.0,4200.0,4451.0,4300.0,Soybean
2021-01-05,Latur(Murud) APMC,Latur,Yellow,FAQ,4754.0,4200.0,4375.0,4350.0,Soybean
2021-01-05,Latur APMC,Latur,Yellow,FAQ,4754.0,4191.0,4500.0,4350.0,Soybean
2021-01-05,Latur(Murud) APMC,Latur,Yellow,FAQ,4754.0,4200.0,4375.0,4350.0,Soybean
2021-01-05,Latur APMC,Latur,Yellow,FAQ,4754.0,4191.0,4500.0,4350.0,Soybean
2021-01-16,Latur APMC,Latur,Yellow,FAQ,3177.0,3300.0,4461.0,4380.0,Soybean
2021-01-16,Latur(Murud) APMC,Latur,Yellow,FAQ,3177.0,4200.0,4431.0,4310.0,Soybean
2021-01-16,Latur APMC,Latur,Yellow,FAQ,3177.0,3300.0,4461.0,4380.0,Soybean
2021-01-16,Latur(Murud) APMC,Latur,Yellow,FAQ,3177.0,4200.0,4431.0,4310.0,Soybean
2021-01-18,Latur(Murud) APMC,Latur,Yellow,FAQ,3446.0,4300.0,4451.0,4400.0,Soybean
2021-01-18,Latur(Murud) APMC,Latur,Yellow,FAQ,3446.0,4300.0,4451.0,4400.0,Soybean
2021-01-18,Latur APMC,Latur,Yellow,FAQ,3446.0,4000.0,4481.0,4410.0,Soybean
2021-01-18,Latur APMC,Latur,Yellow,FAQ,3446.0,4000.0,4481.0,4410.0,Soybean
2021-01-19,Latur APMC,Latur,Yellow,FAQ,3354.0,4290.0,4462.0,4390.0,Soybean
2021-01-19,Latur APMC,Latur,Yellow,FAQ,3354.0,4290.0,4462.0,4390.0,Soybean
2021-01-19,Latur(Murud) APMC,Latur,Yellow,FAQ,3354.0,4200.0,4441.0,4350.0,Soybean
2021-01-19,Latur(Murud) APMC,Latur,Yellow,FAQ,3354.0,4200.0,4441.0,4350.0,Soybean
2021-01-20,Latur(Murud) APMC,Latur,Yellow,FAQ,2930.0,4200.0,4351.0,4300.0,Soybean
2021-01-20,Latur APMC,Latur,Yellow,FAQ,2930.0,3650.0,4421.0,4330.0,Soybean
2021-01-20,Latur(Murud) APMC,Latur,Yellow,FAQ,2930.0,4200.0,4351.0,4300.0,Soybean
2021-01-20,Latur APMC,Latur,Yellow,FAQ,2930.0,3650.0,4421.0,4330.0,Soybean
2021-01-21,Latur(Murud) APMC,Latur,Yellow,FAQ,3589.0,4100.0,4351.0,4250.0,Soybean
2021-01-21,Latur APMC,Latur,Yellow,FAQ,3589.0,3690.0,4386.0,4290.0,Soybean
2021-01-21,Latur APMC,Latur,Yellow,FAQ,3589.0,3690.0,4386.0,4290.0,Soybean
2021-01-21,Latur(Murud) APMC,Latur,Yellow,FAQ,3589.0,4100.0,4351.0,4250.0,Soybean
2021-01-22,Latur(Murud) APMC,Latur,Yellow,FAQ,4082.0,4100.0,4350.0,4250.0,Soybean
2021-01-22,Latur APMC,Latur,Yellow,FAQ,4082.0,4100.0,4401.0,4310.0,Soybean
2021-01-22,Latur APMC,Latur,Yellow,FAQ,4082.0,4100.0,4401.0,4310.0,Soybean
2021-01-22,Latur(Murud) APMC,Latur,Yellow,FAQ,4082.0,4100.0,4350.0,4250.0,Soybean
2021-01-23,Latur(Murud) APMC,Latur,Yellow,FAQ,3035.0,4100.0,4341.0,4250.0,Soybean
2021-01-23,Latur APMC,Latur,Yellow,FAQ,3035.0,3879.0,4374.0,4290.0,Soybean
2021-01-23,Latur APMC,Latur,Yellow,FAQ,3035.0,3879.0,4374.0,4290.0,Soybean
