date,market,district,variety,grade,arrival_qty,min_price,max_price,modal_price,commodity
2021-01-01,Bhokar APMC,Nanded,Yellow,FAQ,573.0,3442.0,4250.0,3846.0,Soybean
2021-01-01,Bhokar APMC,Nanded,Yellow,FAQ,573.0,3442.0,4250.0,3846.0,Soybean
2021-01-01,Bhokar APMC,Nanded,Yellow,FAQ,573.0,3442.0,4250.0,3846.0,Soybean
2021-01-02,Bhokar APMC,Nanded,Yellow,FAQ,3090.0,2009.0,4267.0,3138.0,Soybean
2021-01-02,Mudkhed APMC,Nanded,Other,FAQ,3090.0,4000.0,4150.0,4050.0,Soybean
2021-01-02,Bhokar APMC,Nanded,Yellow,FAQ,3090.0,2009.0,4267.0,3138.0,Soybean
2021-01-02,Dharmabad APMC,Nanded,Yellow,FAQ,3090.0,3745.0,4345.0,4100.0,Soybean
2021-01-02,Mukhed APMC,Nanded,Yellow,FAQ,3090.0,4000.0,4375.0,4200.0,Soybean
2021-01-02,Nanded APMC,Nanded,Other,FAQ,3090.0,3900.0,4250.0,4172.0,Soybean
2021-01-02,Bhokar APMC,Nanded,Yellow,FAQ,3090.0,2009.0,4267.0,3138.0,Soybean
2021-01-02,Loha APMC,Nanded,Other,FAQ,3090.0,3952.0,4300.0,4101.0,Soybean
2021-01-04,Bhokar APMC,Nanded,Yellow,FAQ,3298.0,2500.0,4329.0,3415.0,Soybean
2021-01-04,Mukhed APMC,Nanded,Yellow,FAQ,3298.0,4000.0,4450.0,4300.0,Soybean
2021-01-04,Dharmabad APMC,Nanded,Yellow,FAQ,3298.0,3610.0,4515.0,4200.0,Soybean
2021-01-04,Loha APMC,Nanded,Other,FAQ,3298.0,400.0,4410.0,4155.0,Soybean
2021-01-04,Bhokar APMC,Nanded,Yellow,FAQ,3298.0,2500.0,4329.0,3415.0,Soybean
2021-01-04,Bhokar APMC,Nanded,Yellow,FAQ,3298.0,2500.0,4329.0,3415.0,Soybean
2021-01-05,Bhokar APMC,Nanded,Yellow,FAQ,4754.0,3441.0,4275.0,3858.0,Soybean
2021-01-05,Mukhed APMC,Nanded,Yellow,FAQ,4754.0,3880.0,4400.0,4300.0,Soybean
2021-01-05,Bhokar APMC,Nanded,Yellow,FAQ,4754.0,3441.0,4275.0,3858.0,Soybean
2021-01-05,Bhokar APMC,Nanded,Yellow,FAQ,4754.0,3441.0,4275.0,3858.0,Soybean
2021-01-05,Mudkhed APMC,Nanded,Other,FAQ,4754.0,3900.0,4250.0,4100.0,Soybean
2021-01-06,Mudkhed APMC,Nanded,Other,FAQ,681.0,3900.0,4250.0,4100.0,Soybean
2021-01-12,Dharmabad APMC,Nanded,Yellow,FAQ,298.0,3310.0,4370.0,4080.0,Soybean
2021-01-13,Mukhed APMC,Nanded,Yellow,FAQ,329.0,4200.0,4450.0,4400.0,Soybean
