date,market,district,variety,grade,arrival_qty,min_price,max_price,modal_price,commodity
2021-01-01,Parbhani APMC,Parbhani,Yellow,FAQ,573.0,4000.0,4350.0,4200.0,Soybean
2021-01-01,Parbhani APMC,Parbhani,Yellow,FAQ,573.0,4000.0,4350.0,4200.0,Soybean
2021-01-02,Parbhani APMC,Parbhani,Yellow,FAQ,3090.0,4000.0,4300.0,4150.0,Soybean
2021-01-02,Parbhani APMC,Parbhani,Yellow,FAQ,3090.0,4000.0,4300.0,4150.0,Soybean
2021-01-04,Parbhani APMC,Parbhani,Yellow,FAQ,3298.0,4000.0,4400.0,4200.0,Soybean
2021-01-04,Parbhani APMC,Parbhani,Yellow,FAQ,3298.0,4000.0,4400.0,4200.0,Soybean
2021-01-05,Parbhani APMC,Parbhani,Yellow,FAQ,4754.0,4050.0,4400.0,4200.0,Soybean
2021-01-05,Parbhani APMC,Parbhani,Yellow,FAQ,4754.0,4050.0,4400.0,4200.0,Soybean
2021-01-09,Parbhani APMC,Parbhani,Yellow,FAQ,180.0,4000.0,4350.0,4200.0,Soybean
2021-01-09,Parbhani APMC,Parbhani,Yellow,FAQ,180.0,4000.0,4350.0,4200.0,Soybean
2021-01-12,Parbhani APMC,Parbhani,Yellow,FAQ,298.0,4200.0,4400.0,4300.0,Soybean
2021-01-12,Parbhani APMC,Parbhani,Yellow,FAQ,298.0,4200.0,4400.0,4300.0,Soybean
2021-01-13,Parbhani APMC,Parbhani,Yellow,FAQ,329.0,4100.0,4400.0,4300.0,Soybean
2021-01-13,Parbhani APMC,Parbhani,Yellow,FAQ,329.0,4100.0,4400.0,4300.0,Soybean
2021-01-16,Parbhani APMC,Parbhani,Yellow,FAQ,3177.0,4250.0,4410.0,4300.0,Soybean
2021-01-16,Parbhani APMC,Parbhani,Yellow,FAQ,3177.0,4250.0,4410.0,4300.0,Soybean
2021-01-18,Parbhani APMC,Parbhani,Yellow,FAQ,3446.0,4000.0,4400.0,4350.0,Soybean
2021-01-18,Parbhani APMC,Parbhani,Yellow,FAQ,3446.0,4000.0,4400.0,4350.0,Soybean
2021-01-19,Parbhani APMC,Parbhani,Yellow,FAQ,3354.0,4000.0,4400.0,4300.0,Soybean
