date,market,district,variety,grade,arrival_qty,min_price,max_price,modal_price,commodity
2021-01-01,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-02,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-04,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-05,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-06,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-15,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-16,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-18,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-19,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-20,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-23,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-28,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-29,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-01-30,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-02-01,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-02-02,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-02-03,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-02-04,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-02-05,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-02-09,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-02-10,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-02-11,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
2021-02-12,Mumbai APMC,Mumbai,Other,FAQ,0.0,8000.0,13000.0,10000.0,Turmeric
