date,market,district,variety,grade,arrival_qty,min_price,max_price,modal_price,commodity
2021-01-01,Nanded APMC,Nanded,Other,FAQ,0.0,4645.0,5510.0,5250.0,Turmeric
2021-01-02,Nanded APMC,Nanded,Other,FAQ,0.0,4880.0,5525.0,5360.0,Turmeric
2021-01-04,Nanded APMC,Nanded,Other,FAQ,0.0,4500.0,5500.0,5100.0,Turmeric
2021-01-05,Nanded APMC,Nanded,Other,FAQ,0.0,5400.0,5700.0,5700.0,Turmeric
2021-01-08,Nanded APMC,Nanded,Other,FAQ,0.0,5000.0,6050.0,5700.0,Turmeric
2021-01-12,Nanded APMC,Nanded,Other,FAQ,0.0,4750.0,6600.0,5950.0,Turmeric
2021-01-13,Nanded APMC,Nanded,Other,FAQ,0.0,5571.0,6100.0,5800.0,Turmeric
2021-01-14,Nanded APMC,Nanded,Other,FAQ,0.0,4900.0,7495.0,6345.0,Turmeric
2021-01-15,Nanded APMC,Nanded,Other,FAQ,0.0,5350.0,5985.0,5350.0,Turmeric
2021-01-18,Nanded APMC,Nanded,Other,FAQ,0.0,5235.0,6805.0,6000.0,Turmeric
2021-01-19,Nanded APMC,Nanded,Other,FAQ,0.0,5000.0,7295.0,6395.0,Turmeric
2021-01-20,Nanded APMC,Nanded,Other,FAQ,0.0,5170.0,6700.0,6380.0,Turmeric
2021-01-21,Nanded APMC,Nanded,Other,FAQ,0.0,4645.0,7095.0,6465.0,Turmeric
2021-01-22,Nanded APMC,Nanded,Other,FAQ,0.0,4600.0,6500.0,5575.0,Turmeric
2021-01-25,Nanded APMC,Nanded,Other,FAQ,0.0,5000.0,6700.0,6030.0,Turmeric
2021-01-27,Nanded APMC,Nanded,Other,FAQ,0.0,4300.0,7095.0,6385.0,Turmeric
2021-01-29,Nanded APMC,Nanded,Other,FAQ,0.0,5500.0,7720.0,6980.0,Turmeric
2021-02-01,Nanded APMC,Nanded,Other,FAQ,0.0,5595.0,8700.0,6790.0,Turmeric
2021-02-02,Bhokar APMC,Nanded,Other,FAQ,0.0,3535.0,3535.0,3535.0,Turmeric
2021-02-02,Bhokar APMC,Nanded,Other,FAQ,0.0,3535.0,3535.0,3535.0,Turmeric
2021-02-02,Nanded APMC,Nanded,Other,FAQ,0.0,5000.0,7265.0,6585.0,Turmeric
2021-02-03,Nanded APMC,Nanded,Other,FAQ,0.0,4995.0,7585.0,6760.0,Turmeric
2021-02-04,Nanded APMC,Nanded,Other,FAQ,0.0,5425.0,7425.0,6525.0,Turmeric
2021-02-08,Nanded APMC,Nanded,Other,FAQ,0.0,5000.0,8685.0,7200.0,Turmeric
2021-02-09,Nanded APMC,Nanded,Other,FAQ,0.0,5495.0,8785.0,7985.0,Turmeric
2021-02-10,Nanded APMC,Nanded,Other,FAQ,0.0,6400.0,8775.0,7790.0,Turmeric
2021-02-12,Nanded APMC,Nanded,Other,FAQ,0.0,6095.0,8785.0,8095.0,Turmeric
2021-02-15,Nanded APMC,Nanded,Other,FAQ,0.0,5800.0,8695.0,8190.0,Turmeric
2021-02-16,Nanded APMC,Nanded,Other,FAQ,0.0,6000.0,9100.0,8150.0,Turmeric
2021-02-17,Bhokar APMC,Nanded,Other,FAQ,0.0,5607.0,5609.0,5608.0,Turmeric
2021-02-17,Bhokar APMC,Nanded,Other,FAQ,0.0,5607.0,5609.0,5608.0,Turmeric
2021-02-17,Nanded APMC,Nanded,Other,FAQ,0.0,6000.0,8950.0,7795.0,Turmeric
2021-02-18,Nanded APMC,Nanded,Other,FAQ,0.0,6700.0,8050.0,7345.0,Turmeric
2021-02-22,Nanded APMC,Nanded,Other,FAQ,0.0,6490.0,7845.0,7220.0,Turmeric
2021-02-23,Nanded APMC,Nanded,Other,FAQ,0.0,6500.0,8495.0,7990.0,Turmeric
2021-02-24,Nanded APMC,Nanded,Other,FAQ,0.0,6500.0,8690.0,8195.0,Turmeric
2021-02-27,Nanded APMC,Nanded,Other,FAQ,0.0,6700.0,8601.0,7000.0,Turmeric
2021-02-27,Bhokar APMC,Nanded,Other,FAQ,0.0,4101.0,5485.0,4793.0,Turmeric
2021-02-27,Bhokar APMC,Nanded,Other,FAQ,0.0,4101.0,5485.0,4793.0,Turmeric
2021-03-01,Bhokar APMC,Nanded,Other,FAQ,0.0,3500.0,6901.0,5200.0,Turmeric
2021-03-01,Nanded APMC,Nanded,Other,FAQ,0.0,6395.0,9500.0,8700.0,Turmeric
2021-03-01,Bhokar APMC,Nanded,Other,FAQ,0.0,3500.0,6901.0,5200.0,Turmeric
2021-03-02,Nanded APMC,Nanded,Other,FAQ,0.0,6795.0,9110.0,8100.0,Turmeric
2021-03-03,Bhokar APMC,Nanded,Other,FAQ,0.0,6800.0,7200.0,7000.0,Turmeric
2021-03-03,Bhokar APMC,Nanded,Other,FAQ,0.0,6800.0,7200.0,7000.0,Turmeric
2021-03-03,Nanded APMC,Nanded,Other,FAQ,0.0,6800.0,10060.0,8500.0,Turmeric
2021-03-04,Bhokar APMC,Nanded,Other,FAQ,0.0,4511.0,7717.0,6114.0,Turmeric
2021-03-04,Bhokar APMC,Nanded,Other,FAQ,0.0,4511.0,7717.0,6114.0,Turmeric
2021-03-04,Nanded APMC,Nanded,Other,FAQ,0.0,6700.0,11200.0,8735.0,Turmeric
2021-03-05,Nanded APMC,Nanded,Other,FAQ,0.0,6395.0,9275.0,8490.0,Turmeric
2021-03-05,Bhokar APMC,Nanded,Other,FAQ,0.0,5000.0,7525.0,6262.0,Turmeric
2021-03-05,Bhokar APMC,Nanded,Other,FAQ,0.0,5000.0,7525.0,6262.0,Turmeric
2021-03-08,Bhokar APMC,Nanded,Other,FAQ,0.0,5000.0,8111.0,6556.0,Turmeric
2021-03-08,Nanded APMC,Nanded,Other,FAQ,0.0,7385.0,11601.0,8600.0,Turmeric
2021-03-08,Bhokar APMC,Nanded,Other,FAQ,0.0,5000.0,8111.0,6556.0,Turmeric
2021-03-09,Bhokar APMC,Nanded,Other,FAQ,0.0,5000.0,7300.0,6150.0,Turmeric
2021-03-09,Bhokar APMC,Nanded,Other,FAQ,0.0,5000.0,7300.0,6150.0,Turmeric
2021-03-09,Nanded APMC,Nanded,Other,FAQ,0.0,5485.0,9130.0,8395.0,Turmeric
2021-03-10,Nanded APMC,Nanded,Other,FAQ,0.0,6450.0,9570.0,8695.0,Turmeric
2021-03-10,Bhokar APMC,Nanded,Other,FAQ,0.0,6505.0,8225.0,7365.0,Turmeric
2021-03-10,Bhokar APMC,Nanded,Other,FAQ,0.0,6505.0,8225.0,7365.0,Turmeric
2021-03-12,Bhokar APMC,Nanded,Other,FAQ,0.0,4500.0,7666.0,6083.0,Turmeric
2021-03-12,Bhokar APMC,Nanded,Other,FAQ,0.0,4500.0,7666.0,6083.0,Turmeric
2021-03-13,Bhokar APMC,Nanded,Other,FAQ,0.0,6331.0,7325.0,6838.0,Turmeric
2021-03-13,Bhokar APMC,Nanded,Other,FAQ,0.0,6331.0,7325.0,6838.0,Turmeric
2021-03-15,Bhokar APMC,Nanded,Other,FAQ,0.0,5025.0,7575.0,6300.0,Turmeric
2021-03-15,Bhokar APMC,Nanded,Other,FAQ,0.0,5025.0,7575.0,6300.0,Turmeric
2021-03-16,Nanded APMC,Nanded,Other,FAQ,0.0,7095.0,9400.0,8545.0,Turmeric
2021-03-17,Nanded APMC,Nanded,Other,FAQ,0.0,7225.0,8900.0,8400.0,Turmeric
2021-03-18,Nanded APMC,Nanded,Other,FAQ,0.0,6485.0,10000.0,8795.0,Turmeric
2021-03-20,Dharmabad APMC,Nanded,Other,FAQ,0.0,6000.0,7200.0,6500.0,Turmeric
2021-03-22,Bhokar APMC,Nanded,Other,FAQ,0.0,6400.0,6805.0,6602.0,Turmeric
2021-03-22,Nanded APMC,Nanded,Other,FAQ,0.0,7500.0,9300.0,8245.0,Turmeric
2021-03-22,Bhokar APMC,Nanded,Other,FAQ,0.0,6400.0,6805.0,6602.0,Turmeric
2021-03-23,Bhokar APMC,Nanded,Other,FAQ,0.0,5700.0,7151.0,6426.0,Turmeric
2021-03-23,Nanded APMC,Nanded,Other,FAQ,0.0,5900.0,9000.0,8300.0,Turmeric
2021-03-23,Bhokar APMC,Nanded,Other,FAQ,0.0,5700.0,7151.0,6426.0,Turmeric
2021-03-24,Nanded APMC,Nanded,Other,FAQ,0.0,7000.0,8900.0,8000.0,Turmeric
2021-03-24,Bhokar APMC,Nanded,Other,FAQ,0.0,5011.0,7193.0,6102.0,Turmeric
2021-03-24,Bhokar APMC,Nanded,Other,FAQ,0.0,5011.0,7193.0,6102.0,Turmeric
2021-03-26,Bhokar APMC,Nanded,Other,FAQ,0.0,6872.0,7557.0,7214.0,Turmeric
2021-03-26,Bhokar APMC,Nanded,Other,FAQ,0.0,6872.0,7557.0,7214.0,Turmeric
2021-03-27,Bhokar APMC,Nanded,Other,FAQ,0.0,6525.0,7325.0,6925.0,Turmeric
2021-03-27,Bhokar APMC,Nanded,Other,FAQ,0.0,6525.0,7325.0,6925.0,Turmeric
2021-03-30,Bhokar APMC,Nanded,Other,FAQ,0.0,5007.0,7177.0,6092.0,Turmeric
2021-03-30,Bhokar APMC,Nanded,Other,FAQ,0.0,5007.0,7177.0,6092.0,Turmeric
2021-03-31,Bhokar APMC,Nanded,Other,FAQ,0.0,6875.0,7252.0,7063.0,Turmeric
2021-03-31,Bhokar APMC,Nanded,Other,FAQ,0.0,6875.0,7252.0,7063.0,Turmeric
2021-04-01,Bhokar APMC,Nanded,Other,FAQ,0.0,6300.0,6500.0,6400.0,Turmeric
2021-04-01,Bhokar APMC,Nanded,Other,FAQ,0.0,6300.0,6500.0,6400.0,Turmeric
2021-04-02,Bhokar APMC,Nanded,Other,FAQ,0.0,4577.0,7561.0,6069.0,Turmeric
2021-04-02,Bhokar APMC,Nanded,Other,FAQ,0.0,4577.0,7561.0,6069.0,Turmeric
2021-04-03,Bhokar APMC,Nanded,Other,FAQ,0.0,6300.0,6565.0,6432.0,Turmeric
2021-04-03,Bhokar APMC,Nanded,Other,FAQ,0.0,6300.0,6565.0,6432.0,Turmeric
2021-04-05,Nanded APMC,Nanded,Other,FAQ,0.0,7100.0,8595.0,7975.0,Turmeric
2021-04-05,Bhokar APMC,Nanded,Other,FAQ,0.0,6204.0,7053.0,6628.0,Turmeric
2021-04-05,Bhokar APMC,Nanded,Other,FAQ,0.0,6204.0,7053.0,6628.0,Turmeric
2021-04-06,Bhokar APMC,Nanded,Other,FAQ,0.0,4100.0,6351.0,5226.0,Turmeric
