,,,,Daily Arrival Report-01-01-2026 to 15-04-2026 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,5.40,Metric Tonnes,10-04-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,16.50,Metric Tonnes,09-04-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,14.50,Metric Tonnes,08-04-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,7.80,Metric Tonnes,07-04-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,27.40,Metric Tonnes,01-04-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,24.50,Metric Tonnes,27-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,21.20,Metric Tonnes,24-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,21.00,Metric Tonnes,23-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,39.60,Metric Tonnes,19-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,12.10,Metric Tonnes,17-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,9.10,Metric Tonnes,16-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,8.50,Metric Tonnes,13-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,29.30,Metric Tonnes,12-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,31.40,Metric Tonnes,11-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,61.40,Metric Tonnes,10-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,35.00,Metric Tonnes,09-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,14.00,Metric Tonnes,06-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,9.10,Metric Tonnes,05-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,1.70,Metric Tonnes,04-03-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,13.50,Metric Tonnes,27-02-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,3.80,Metric Tonnes,26-02-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,8.10,Metric Tonnes,25-02-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,11.20,Metric Tonnes,24-02-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,20.80,Metric Tonnes,23-02-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,22.50,Metric Tonnes,16-02-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,37.10,Metric Tonnes,05-02-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,37.50,Metric Tonnes,04-02-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,23.20,Metric Tonnes,03-02-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,46.90,Metric Tonnes,02-02-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,49.30,Metric Tonnes,30-01-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,47.20,Metric Tonnes,23-01-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,41.50,Metric Tonnes,22-01-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,32.40,Metric Tonnes,21-01-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,47.80,Metric Tonnes,12-01-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,60.40,Metric Tonnes,09-01-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,45.70,Metric Tonnes,08-01-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,48.70,Metric Tonnes,07-01-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,42.40,Metric Tonnes,06-01-2026
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,58.00,Metric Tonnes,02-01-2026

