,,,,,,Daily Price Report-01-01-2021 to 31-12-2021 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,013.00","6,200.00","5,607.00",Rs./Quintal,31-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"6,174.00","6,174.00","6,174.00",Rs./Quintal,30-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,353.00","6,250.00","5,801.00",Rs./Quintal,29-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,000.00","6,313.00","5,656.00",Rs./Quintal,28-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,013.00","6,313.00","5,663.00",Rs./Quintal,27-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,250.00","6,161.00","5,705.00",Rs./Quintal,25-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,755.00","6,309.00","6,032.00",Rs./Quintal,24-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,909.00","6,107.00","6,008.00",Rs./Quintal,23-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,444.00","5,963.00","5,203.00",Rs./Quintal,22-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,002.00","5,950.00","4,976.00",Rs./Quintal,21-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,300.00","6,000.00","5,150.00",Rs./Quintal,20-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,453.00","6,250.00","5,852.00",Rs./Quintal,18-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,850.00","6,333.00","5,592.00",Rs./Quintal,17-12-2021
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,625.00","6,131.00","5,878.00",Rs./Quintal,16-12-2021
