,,,,Daily Arrival Report-01-01-2025 to 31-12-2025 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,60.70,Metric Tonnes,06-11-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,175.40,Metric Tonnes,23-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,40.70,Metric Tonnes,17-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,66.60,Metric Tonnes,16-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,80.80,Metric Tonnes,14-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,331.20,Metric Tonnes,13-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,62.30,Metric Tonnes,06-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,33.50,Metric Tonnes,07-03-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,37.60,Metric Tonnes,28-02-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,30.30,Metric Tonnes,21-02-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,32.30,Metric Tonnes,14-02-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,58.90,Metric Tonnes,04-02-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,65.30,Metric Tonnes,28-01-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,66.20,Metric Tonnes,24-01-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,73.50,Metric Tonnes,15-01-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,61.60,Metric Tonnes,10-01-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,60.20,Metric Tonnes,03-01-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.50,Metric Tonnes,31-12-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,98.00,Metric Tonnes,30-12-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.00,Metric Tonnes,29-12-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,82.00,Metric Tonnes,27-12-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,135.00,Metric Tonnes,26-12-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,60.00,Metric Tonnes,25-12-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,103.00,Metric Tonnes,24-12-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,130.00,Metric Tonnes,23-12-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,110.00,Metric Tonnes,22-12-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,105.00,Metric Tonnes,20-12-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.50,Metric Tonnes,18-12-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,105.00,Metric Tonnes,17-12-2025
