,,,,Daily Arrival Report-01-01-2025 to 31-12-2025 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,111.50,Metric Tonnes,30-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,113.00,Metric Tonnes,29-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,109.50,Metric Tonnes,24-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,102.10,Metric Tonnes,23-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,75.20,Metric Tonnes,22-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,116.00,Metric Tonnes,19-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,69.00,Metric Tonnes,17-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,71.50,Metric Tonnes,16-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,44.10,Metric Tonnes,11-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,40.20,Metric Tonnes,10-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,40.70,Metric Tonnes,09-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,30.40,Metric Tonnes,04-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,22.00,Metric Tonnes,27-11-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,21.90,Metric Tonnes,25-11-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,23.20,Metric Tonnes,24-11-2025
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,15.00,Metric Tonnes,19-05-2025
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,35.50,Metric Tonnes,09-05-2025
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,9.00,Metric Tonnes,07-05-2025
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,19.00,Metric Tonnes,06-05-2025
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,60.00,Metric Tonnes,05-05-2025
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,110.00,Metric Tonnes,30-04-2025

