,,,,,,Daily Price Report-01-01-2021 to 31-12-2021 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"6,005.00","6,355.00","6,180.00",Rs./Quintal,31-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"6,000.00","6,205.00","6,092.00",Rs./Quintal,24-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,310.00","6,140.00","5,933.00",Rs./Quintal,22-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,400.00","6,090.00","5,920.00",Rs./Quintal,20-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,920.00","6,385.00","6,250.00",Rs./Quintal,17-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,000.00","6,440.00","6,257.00",Rs./Quintal,16-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"6,050.00","6,345.00","6,251.00",Rs./Quintal,15-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,000.00","6,500.00","6,186.00",Rs./Quintal,14-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,000.00","6,505.00","6,338.00",Rs./Quintal,13-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,960.00","6,525.00","6,328.00",Rs./Quintal,10-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"6,150.00","6,600.00","6,447.00",Rs./Quintal,09-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,805.00","6,800.00","6,566.00",Rs./Quintal,08-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,740.00","6,930.00","6,696.00",Rs./Quintal,06-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,500.00","6,870.00","6,672.00",Rs./Quintal,04-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"6,360.00","6,645.00","6,527.00",Rs./Quintal,03-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"6,105.00","6,640.00","6,432.00",Rs./Quintal,02-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,880.00","6,550.00","6,370.00",Rs./Quintal,01-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"6,210.00","6,230.00","6,220.00",Rs./Quintal,30-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,350.00","6,490.00","6,283.00",Rs./Quintal,29-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"6,320.00","6,640.00","6,539.00",Rs./Quintal,27-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"6,105.00","7,100.00","6,607.00",Rs./Quintal,26-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,400.00","6,715.00","6,510.00",Rs./Quintal,25-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,505.00","6,790.00","6,472.00",Rs./Quintal,24-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"6,155.00","6,775.00","6,630.00",Rs./Quintal,23-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,700.00","6,490.00","6,309.00",Rs./Quintal,22-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,605.00","6,225.00","6,056.00",Rs./Quintal,20-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,750.00","6,130.00","5,935.00",Rs./Quintal,18-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,245.00","6,005.00","5,827.00",Rs./Quintal,17-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,905.00","5,800.00","5,629.00",Rs./Quintal,16-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,705.00","5,825.00","5,564.00",Rs./Quintal,15-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,950.00","5,430.00","5,290.00",Rs./Quintal,12-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,700.00","5,425.00","5,218.00",Rs./Quintal,11-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,405.00","5,400.00","5,175.00",Rs./Quintal,10-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,680.00","5,860.00","5,045.00",Rs./Quintal,09-11-2021
