,,,,,,Daily Price Report-01-01-2023 to 31-12-2023 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,595.00","4,805.00","4,700.00",Rs./Quintal,26-12-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,640.00","4,845.00","4,742.00",Rs./Quintal,19-12-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,500.00","4,835.00","4,667.00",Rs./Quintal,14-12-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,750.00","4,960.00","4,750.00",Rs./Quintal,08-12-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,605.00","4,915.00","4,760.00",Rs./Quintal,04-12-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,800.00","5,140.00","4,970.00",Rs./Quintal,24-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,500.00","5,170.00","4,835.00",Rs./Quintal,22-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,800.00","5,125.00","4,962.00",Rs./Quintal,20-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,050.00","5,165.00","5,107.00",Rs./Quintal,17-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,050.00","5,240.00","5,145.00",Rs./Quintal,16-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,545.00","4,890.00","4,717.00",Rs./Quintal,06-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,100.00","4,900.00","4,500.00",Rs./Quintal,03-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,500.00","4,800.00","4,650.00",Rs./Quintal,31-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,260.00","4,751.00","4,505.00",Rs./Quintal,25-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,200.00","4,835.00","4,517.00",Rs./Quintal,21-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,290.00","4,750.00","4,520.00",Rs./Quintal,20-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,995.00","4,775.00","4,385.00",Rs./Quintal,19-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,100.00","4,670.00","4,385.00",Rs./Quintal,18-10-2023
