,,,,,,Daily Price Report-01-01-2026 to 16-04-2026 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"5,140.00","5,270.00","5,205.00",Rs./Quintal,13-02-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,150.00","5,505.00","5,327.00",Rs./Quintal,13-04-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,150.00","5,555.00","5,352.00",Rs./Quintal,11-04-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,000.00","5,500.00","5,250.00",Rs./Quintal,10-04-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,150.00","5,450.00","5,300.00",Rs./Quintal,09-04-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,200.00","5,500.00","5,350.00",Rs./Quintal,08-04-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,050.00","5,550.00","5,300.00",Rs./Quintal,07-04-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,000.00","5,565.00","5,282.00",Rs./Quintal,06-04-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"4,980.00","5,480.00","5,230.00",Rs./Quintal,25-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"4,940.00","5,440.00","5,190.00",Rs./Quintal,24-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,065.00","5,565.00","5,315.00",Rs./Quintal,23-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,000.00","5,450.00","5,225.00",Rs./Quintal,20-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"4,900.00","5,350.00","5,125.00",Rs./Quintal,17-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"4,925.00","5,425.00","5,175.00",Rs./Quintal,16-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,100.00","5,450.00","5,275.00",Rs./Quintal,14-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,050.00","5,300.00","5,175.00",Rs./Quintal,13-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,040.00","5,540.00","5,290.00",Rs./Quintal,12-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,000.00","5,400.00","5,200.00",Rs./Quintal,11-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"4,965.00","5,445.00","5,215.00",Rs./Quintal,10-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,100.00","5,610.00","5,355.00",Rs./Quintal,09-03-2026
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,Other,Local,"5,100.00","5,600.00","5,350.00",Rs./Quintal,07-03-2026
